accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
FJ231517			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		555	0
FJ231516			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		555	0
FJ231515			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		556	0
FJ231514			China: Jingxi		23.15 N 106.41 E	Anas platyrhynchos		556	0
FJ231513			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231512			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231511			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		555	0
FJ231510			China: Xilin		24.51 N 105.08 E	Anas platyrhynchos		522	0
FJ231509			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		556	0
FJ231508			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		556	0
FJ231507			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
FJ231506			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
FJ231505			China: Gaoyou		32.78 N 119.45 E	Anas platyrhynchos		555	0
JN419247			Argentina: Misiones, Iguazu, Parque Nacional Iguazu, Arroyo Yacui		25.66 S 54.16 W	Haplospiza unicolor	MACN-Or-ct 3578	694	2
JN419246			Argentina: Misiones, Gral. Belgrano, Parque Urugua-i, Paraje Maria Soledad		25.85 S 53.98 W	Haplospiza unicolor	MACN-Or-ct 2008	694	2
JN419245			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossa sittoides	MACN-Or-ct 3857	694	2
JN419244			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossopis cyanea	MACN-Or-ct 3820	694	2
JN419243			Bolivia: La Paz, Camino Chuspipata		16.03 S 67.81 W	Diglossopis cyanea	MACN-Or-ct 3829	694	2
JF499179	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Zosterops japonicus	USNM:641891	694	2
JF499178	Dove, C. J., Gingles, M., Klope, M.	25-Jun-2009	Japan: Chugoku		34.1219 N 132.315 E	Zosterops japonicus	USNM:641928	694	2
JF499177	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake ball field		34.1444 N 132.228 E	Vanellus vanellus	USNM:641778	694	2
JF499176	Gingles, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, softball field near Penny Lake		34.1444 N 132.228 E	Vanellus vanellus	USNM:641781	694	2
JF499175	Klope, M.	29-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Uragus sibiricus	USNM:641788	640	2
JF499174	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Uragus sibiricus	USNM:641883	691	2
JF499173	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641790	672	2
JF499172	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641791	694	2
JF499171	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Turdus naumanni	USNM:641792	672	2
JF499170	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Tachybaptus ruficollis	USNM:641782	539	2
JF499169	Whatton, J. F.	19-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gunn Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641799	694	2
JF499168	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gunn Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641857	694	2
JF499167	Escobar, R., Klope, M.	21-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641889	694	2
JF499166	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641916	694	2
JF499165	Whatton, J. F.	23-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sturnus cineraceus	USNM:641917	694	2
JF499164	Gingles, M.	24-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Streptopelia orientalis	USNM:641869	664	2
JF499163	Gingles, M.	12-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Sternula albifrons	USNM:641811	644	2
JF499162	Escobar, R.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Sternula albifrons	USNM:641845	694	2
JF499161	Gingles, M.	08-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Sternula albifrons	USNM:641888	694	2
JF499160	Escobar, R.	22-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Gun Park		34.1444 N 132.228 E	Sternula albifrons	USNM:641913	694	2
JF499159	Gingles, M.	22-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, new holding pond		34.1444 N 132.228 E	Podiceps cristatus	USNM:641908	670	2
JF499158	Klope, M.	28-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641793	637	2
JF499157	Klope, M.	28-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641794	668	2
JF499156	Klope, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, ammo area		34.1444 N 132.228 E	Phoenicurus auroreus	USNM:641882	637	2
JF499155	Gingles, M.	05-Mar-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, SW end		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641774	539	2
JF499154	Gingles, M.	27-Jan-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641776	670	2
JF499153	Gingles, M.	05-Mar-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, SW end of runway		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641780	539	2
JF499152	Gingles, M.	28-May-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake, S end of W side runway		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641795	686	2
JF499151	Gingles, M.	12-Jun-2009	Japan: Chugoku, Iwakuni, Marine Corps Air Station Iwakuni, Penny Lake		34.1444 N 132.228 E	Phalacrocorax carbo	USNM:641813	692	2
