scientific_name	count	max_intra	min_inter
Abrornis humei	1		0.07716000080108643
Abrornis inornata	3	0.002962999977171421	0.07716000080108643
Abrornis proregulus	3	0.006173000205308199	0.0786999985575676
Acanthis flammea	6	0.009695000015199184	0.0
Acanthis hornemanni	5	0.007716000080108643	0.0
Accipiter cooperii	1		0.07142999768257141
Accipiter gentilis	4	0.027639999985694885	0.07142999768257141
Accipiter nisus	4	0.003085999982431531	0.043230000883340836
Accipiter striatus	7	0.0015079999575391412	0.043230000883340836
Acridotheres tristis	3	0.0	0.060520000755786896
Acrocephalus agricola	1		0.08563999831676483
Acrocephalus arundinaceus	1		0.06790000200271606
Acrocephalus orientalis	1		0.06790000200271606
Acrocephalus palustris	5	0.0	0.0768200010061264
Acrocephalus schoenobaenus	3	0.0015770000172778964	0.09531000256538391
Acrocephalus scirpaceus	5	0.007716000080108643	0.0768200010061264
Actitis hypoleucos	6	0.00927400030195713	0.10090000182390213
Actitis macularia	3	0.0	0.10090000182390213
Aegithalos caudatus	4	0.003085999982431531	0.11879999935626984
Aegolius acadicus	7	0.00304899993352592	0.11110000312328339
Aegolius funereus	4	0.003085999982431531	0.11110000312328339
Aeronautes saxatalis	2	0.0	0.10019999742507935
Aethia pusilla	1		0.10540000349283218
Agelaius phoeniceus	3	0.008646000176668167	0.06238999962806702
Aix sponsa	1		0.08149000257253647
Alauda arvensis	12	0.08479999750852585	0.07692000269889832
Alca torda	4	0.003085999982431531	0.08990000188350677
Alcedo atthis	4	0.005764000117778778	0.12160000205039978
Alectoris chukar	3	0.0014410000294446945	0.11209999769926071
Alle alle	4	0.004629999864846468	0.07745999842882156
Ammodramus maritimus	1		0.07022999972105026
Ammodramus savannarum	1		0.07119999825954437
Amphispiza belli	1		0.06829000264406204
Amphispiza bilineata	1		0.09014999866485596
Anas acuta	5	0.004666000138968229	0.05420999974012375
Anas carolinensis	1		0.037379998713731766
Anas clypeata	8	0.007861999794840813	0.023010000586509705
Anas crecca	6	0.004629999864846468	0.037379998713731766
Anas cyanoptera	1		0.0
Anas discors	1		0.0
Anas fulvigula	1		0.0031999999191612005
Anas laysanensis	2	0.0	0.004800000227987766
Anas platyrhynchos	7	0.007751999888569117	0.0
Anas poecilorhyncha	3	0.010119999758899212	0.0
Anas querquedula	2	0.0015429999912157655	0.043129999190568924
Anas rubripes	1		0.0031999999191612005
Anhinga anhinga	1		0.14190000295639038
Anser anser	4	0.006738999858498573	0.016979999840259552
Anser erythropus	1		0.0015429999912157655
Anser fabalis	1		0.0015429999912157655
Anser indicus	1		0.013890000060200691
Anthus correndera	5	0.0072730001993477345	0.07780999690294266
Anthus hodgsoni	1		0.03858000040054321
Anthus petrosus	2	0.0	0.030859999358654022
Anthus pratensis	4	0.004629999864846468	0.030859999358654022
Anthus rubescens	1		0.04255000129342079
Anthus trivialis	3	0.0015429999912157655	0.03858000040054321
Antrostomus vociferus	1		0.0949999988079071
Aphelocoma californica	2	0.0018899999558925629	0.013209999538958073
Aphelocoma coerulescens	2	0.001534000039100647	0.0603800006210804
Aphelocoma insularis	2	0.0	0.013209999538958073
Aphelocoma ultramarina	2	0.04873000085353851	0.0802299976348877
Apus apus	4	0.004042999818921089	0.09968999773263931
Aquila chrysaetos	3	0.0016289999475702643	0.07818000018596649
Aquila clanga	1		0.07818000018596649
Aramus guarauna	1		0.11469999700784683
Archilochus alexandri	1		0.010540000163018703
Archilochus colubris	3	0.0014410000294446945	0.010540000163018703
Ardea alba	1		0.06369999796152115
Ardea cinerea	6	0.006173000205308199	0.017319999635219574
Ardea herodias	1		0.017319999635219574
Ardenna bulleri	1		0.036809999495744705
Ardenna creatopus	1		0.046509999781847
Ardenna pacifica	2	0.0	0.036809999495744705
Arenaria interpres	4	0.004098000004887581	0.08967000246047974
Asio flammeus	3	0.004629999864846468	0.08493000268936157
Asio otus	5	0.013399999588727951	0.08493000268936157
Atticora melanoleuca	1		0.09187000244855881
Auriparus flaviceps	1		0.1257999986410141
Aythya ferina	4	0.006173000205308199	0.004650999791920185
Aythya fuligula	5	0.0	0.009259000420570374
Aythya marila	4	0.003085999982431531	0.009259000420570374
Aythya valisineria	1		0.004650999791920185
Baeolophus atricristatus	1		0.058720000088214874
Baeolophus inornatus	2	0.0	0.058720000088214874
Bartramia longicauda	1		0.11089999973773956
Bombycilla garrulus	6	0.01931999996304512	0.11729999631643295
Botaurus lentiginosus	1		0.07895000278949738
Botaurus stellaris	2	0.0	0.07895000278949738
