scientific_name	count	max_intra	min_inter
Abrornis humei	1		0.07716000080108643
Abrornis inornata	3	0.002962999977171421	0.07716000080108643
Abrornis proregulus	3	0.006173000205308199	0.0786999985575676
Abroscopus albogularis	1		0.1103999987244606
Abroscopus superciliaris	1		0.1103999987244606
Acanthis flammea	6	0.009695000015199184	0.0
Acanthis hornemanni	5	0.007716000080108643	0.0
Accipiter bicolor	2	0.0015529999509453773	0.03415999934077263
Accipiter castanilius	1		0.001534000039100647
Accipiter cooperii	1		0.03415999934077263
Accipiter gentilis	4	0.027639999985694885	0.06503999978303909
Accipiter gularis	1		0.089369997382164
Accipiter nisus	4	0.003085999982431531	0.043230000883340836
Accipiter poliogaster	1		0.09006000310182571
Accipiter striatus	8	0.01686999946832657	0.043230000883340836
Accipiter superciliosus	4	0.0	0.08229999989271164
Accipiter tachiro	2	0.0	0.001534000039100647
Acridotheres cristatellus	1		0.03668000176548958
Acridotheres tristis	3	0.0	0.03668000176548958
Acrocephalus aedon	3	0.0039450000040233135	0.11089999973773956
Acrocephalus agricola	1		0.08563999831676483
Acrocephalus arundinaceus	1		0.06790000200271606
Acrocephalus orientalis	1		0.06790000200271606
Acrocephalus palustris	5	0.0	0.0768200010061264
Acrocephalus schoenobaenus	3	0.0015770000172778964	0.09531000256538391
Acrocephalus scirpaceus	5	0.007716000080108643	0.0768200010061264
Actenoides lindsayi	3	0.0015360000543296337	0.11060000211000443
Actinodura egertoni	1		0.10429999977350235
Actitis hypoleucos	6	0.00927400030195713	0.10090000182390213
Actitis macularia	3	0.0	0.10090000182390213
Aechmophorus clarkii	1		0.0
Aechmophorus occidentalis	2	0.0	0.0
Aegithalos caudatus	4	0.003085999982431531	0.11410000175237656
Aegithina tiphia	3	0.001534000039100647	0.11289999634027481
Aegolius acadicus	7	0.00304899993352592	0.11110000312328339
Aegolius funereus	4	0.003085999982431531	0.11110000312328339
Aegotheles cristatus	3	0.0	0.120899997651577
Aerodramus vanikorensis	1		0.035659998655319214
Aerodramus whiteheadi	1		0.035659998655319214
Aeronautes andecolus	1		0.06452000141143799
Aeronautes saxatalis	2	0.0	0.06452000141143799
Aethia pusilla	1		0.10540000349283218
Aethopyga ignicauda	2	0.0	0.0986500009894371
Aethopyga nipalensis	2	0.0030670000705868006	0.0995199978351593
Aethopyga saturata	3	0.001534000039100647	0.1005999967455864
Agamia agami	2	0.0	0.08771999925374985
Agelaius phoeniceus	3	0.008646000176668167	0.036809999495744705
Agelaius tricolor	1		0.036809999495744705
Aimophila ruficeps	1		0.052149999886751175
Aix sponsa	1		0.08149000257253647
Alauda arvensis	12	0.08479999750852585	0.07692000269889832
Alca torda	4	0.003085999982431531	0.08990000188350677
Alcedo atthis	4	0.005764000117778778	0.07822000235319138
Alcedo azurea	1		0.019940000027418137
Alcedo cyanopectus	2	0.0	0.054260000586509705
Alcedo leucogaster	3	0.001534000039100647	0.1103999987244606
Alcedo quadribrachys	3	0.001534000039100647	0.07822000235319138
Alcedo websteri	3	0.0015360000543296337	0.019940000027418137
Alcippe brunnea	2	0.006134999915957451	0.11810000240802765
Alcippe castaneceps	3	0.0030670000705868006	0.13040000200271606
Alcippe cinerea	2	0.0	0.1242000013589859
Alcippe cinereiceps	2	0.001534000039100647	0.07055000215768814
Alcippe morrisonia	3	0.006134999915957451	0.08436000347137451
Alcippe poioicephala	3	0.0030670000705868006	0.08436000347137451
Alcippe rufogularis	2	0.001534000039100647	0.12120000272989273
Alcippe vinipectus	2	0.001534000039100647	0.07055000215768814
Alectoris chukar	3	0.0014410000294446945	0.11209999769926071
Alectura lathami	1		0.15800000727176666
Alethe castanea	7	0.015359999611973763	0.1120000034570694
Alethe poliocephala	3	0.004600999876856804	0.09815999865531921
Alle alle	4	0.004629999864846468	0.07745999842882156
Alophoixus flaveolus	3	0.0015360000543296337	0.10429999977350235
Alopochelidon fucata	3	0.004902000073343515	0.07601000368595123
Amaurolimnas concolor	2	0.0	0.08436000347137451
Amazilia amabilis	3	0.001534000039100647	0.08217000216245651
Amazilia edward	1		0.020250000059604645
Amazilia fimbriata	3	0.001534000039100647	0.04961000010371208
Amazilia handleyi	3	0.0016029999824240804	0.0030670000705868006
Amazilia leucogaster	4	0.004701999947428703	0.004621999803930521
Amazilia tzacatl	3	0.0030670000705868006	0.0030670000705868006
Amazilia versicolor	2	0.0	0.004621999803930521
Amazilia viridigaster	1		0.020250000059604645
Amazona amazonica	1		0.023010000586509705
