accession	collection_date	country	lat_lon	scientific_name	specimen_voucher	sequence_length	trace_count
JQ176458	14-Feb-1999	Guyana		Tangara episcopus	USNM:Birds:A_542	652	2
JQ174585	03-Oct-1997	Guyana: North West		Crypturellus soui	USNM:Birds:A_257	652	2
JQ175834	29-Sep-1998	Guyana		Picumnus spilogaster	USNM:Birds:A_325	651	2
JQ175833	23-Sep-1998	Guyana		Picumnus spilogaster	USNM:Birds:A_434	652	2
JQ175812	09-Dec-1994	Myanmar: Sagaing		Phylloscopus schwarzi	USNM:Birds:620463	652	2
JQ175811	09-Dec-1994	Myanmar: Sagaing		Phylloscopus schwarzi	USNM:Birds:620464	652	2
JQ175583	03-Oct-1995	Argentina: Tucuman	26.745 S 65.778 W	Pygochelidon cyanoleuca	USNM:Birds:616267	652	2
JQ175327	07-Mar-1991	Panama: Bocas Del Toro		Manacus vitellinus	USNM:Birds:608138	652	2
JQ175326	25-Feb-1991	Panama: Bocas Del Toro		Manacus vitellinus	USNM:Birds:608158	652	2
JQ175325	26-Feb-1991	Panama: Bocas Del Toro		Manacus vitellinus	USNM:Birds:608166	652	2
JQ175324	28-Feb-1991	Panama: Bocas Del Toro		Manacus candei	USNM:Birds:608205	652	2
JQ175323	28-Feb-1991	Panama: Bocas Del Toro		Manacus candei	USNM:Birds:608204	652	2
JQ175322	23-Feb-1991	Panama: Bocas Del Toro		Manacus candei	USNM:Birds:608192	652	2
JQ174624	16-Apr-1995	Myanmar: Chin		Cyornis poliogenys	USNM:Birds:620528	652	2
JQ174560	30-Sep-1997	Guyana: North West	7.367 N 60.483 W	Cotinga cotinga	USNM:Birds:A_306	652	2
JQ174508	06-Aug-2004	Guyana: Upper Takutu-Upper Essequibo	3.883 N 59.583 W	Columbina talpacoti	USNM:Birds:632726	652	2
JQ174489	05-Oct-1998	Guyana		Colaptes punctigula	USNM:Birds:A_365	621	2
JQ174437	19-Feb-1999	Guyana		Chordeiles acutipennis	USNM:Birds:A_564	652	2
JQ174215	27-Sep-1998	Guyana		Buteo magnirostris	USNM:Birds:A_380	652	2
JQ174082	14-Feb-1999	Guyana		Eupsittula pertinax	USNM:Birds:A_540	652	2
JQ174081	14-Feb-1999	Guyana		Eupsittula pertinax	USNM:Birds:A_541	652	2
JQ174079	06-Oct-1998	Guyana		Eupsittula pertinax	USNM:Birds:A_345	652	2
JQ176654	19-Sep-1998	Guyana		Xiphorhynchus obsoletus	KU:O:89742	652	2
JQ176549	04-Oct-1997	Guyana: Northwest District		Trogon violaceus	KU:O:88933	652	2
JQ176510	11-Mar-2000	Guyana		Todirostrum maculatum	KU:O:90939	652	2
JQ176359	27-Sep-1997	Guyana: Northwest District		Tachyphonus luctuosus	KU:O:89078	652	2
JQ176343	11-Nov-2000	Guyana		Tachornis squamata	KU:O:91651	648	2
JQ176342	11-Nov-2000	Guyana		Tachornis squamata	KU:O:91526	648	2
JQ176262	14-Apr-2000	Guyana		Sporophila plumbea	KU:O:90922	652	2
JQ176258	11-Nov-2000	Guyana		Sporophila nigricollis	KU:O:91564	648	2
JQ176254	11-Nov-2000	Guyana		Sporophila intermedia	KU:O:91583	648	2
JQ176253	09-Nov-2000	Guyana		Sporophila intermedia	KU:O:91566	648	2
JQ176145	14-Nov-1994	Guyana: Essequibo		Rhytipterna simplex	KU:O:86485	651	2
JQ176098	02-Oct-1997	Guyana: Northwest District		Ramphastos tucanus	KU:O:88918	652	2
JQ176085	30-Sep-1997	Guyana: Northwest District		Pyrrhura picta	KU:O:88929	652	2
JQ176033	04-Oct-1997	Guyana: Northwest District		Pteroglossus aracari	KU:O:88945	652	2
JQ175785	04-Oct-1997	Guyana: Northwest District		Phoenicircus carnifex	KU:O:88994	652	2
JQ175411	28-Sep-1997	Guyana: Northwest District		Monasa atra	KU:O:88937	652	2
JQ175342	01-Oct-1997	Guyana: Northwest District		Melanerpes cruentatus	KU:O:88955	652	2
JQ175178	30-Sep-1997	Guyana: Northwest District		Jacamerops aureus	KU:O:89107	652	2
JQ175158	13-Oct-2000	Guyana		Inezia subflava	KU:O:91472	648	2
JQ175137	02-Oct-1997	Guyana: Northwest District		Icterus chrysocephalus	KU:O:89058	652	2
JQ174897	16-Aug-1998	Guyana		Galbula leucogastra	KU:O:89703	652	2
JQ174806	04-Oct-1997	Guyana: Northwest District		Euphonia chrysopasta	KU:O:89079	652	2
JQ174747	19-Nov-2000	Guyana		Elaenia ruficeps	KU:O:91509	648	2
JQ174731	15-Apr-2000	Guyana		Elaenia chiriquensis	KU:O:91123	652	2
JQ174730	01-Nov-2000	Guyana		Elaenia chiriquensis	KU:O:91534	648	2
JQ174682	07-Nov-1994	Guyana: Essequibo		Deroptyus accipitrinus	KU:O:86413	651	2
JQ174385	10-Nov-2000	Guyana		Chaetura brachyura	KU:O:91524	648	2
JQ174362	17-Sep-1998	Guyana		Cercomacra laeta	KU:O:89770	652	2
JQ174361	18-Aug-1998	Guyana		Cercomacra laeta	KU:O:89771	652	2
JQ174360	17-Sep-1998	Guyana		Cercomacra laeta	KU:O:89769	652	2
JQ174318	20-Mar-2000	Guyana		Cathartes burrovianus	KU:O:90730	652	2
JQ174157	14-Apr-2000	Guyana		Basileuterus flaveolus	KU:O:90905	652	2
JQ174092	07-Apr-2000	Guyana		Arremon taciturnus	KU:O:90953	652	2
