accession	collected_by	collection_date	country	identified_by	lat_lon	scientific_name	sequence_length	specimen_voucher	trace_count
JQ176654		19-Sep-1998	Guyana			Xiphorhynchus obsoletus	652	KU:O:89742	2
JQ176549		04-Oct-1997	Guyana: Northwest District			Trogon violaceus	652	KU:O:88933	2
JQ176510		11-Mar-2000	Guyana			Todirostrum maculatum	652	KU:O:90939	2
JQ176359		27-Sep-1997	Guyana: Northwest District			Tachyphonus luctuosus	652	KU:O:89078	2
JQ176343		11-Nov-2000	Guyana			Tachornis squamata	648	KU:O:91651	2
JQ176342		11-Nov-2000	Guyana			Tachornis squamata	648	KU:O:91526	2
JQ176262		14-Apr-2000	Guyana			Sporophila plumbea	652	KU:O:90922	2
JQ176258		11-Nov-2000	Guyana			Sporophila nigricollis	648	KU:O:91564	2
JQ176254		11-Nov-2000	Guyana			Sporophila intermedia	648	KU:O:91583	2
JQ176253		09-Nov-2000	Guyana			Sporophila intermedia	648	KU:O:91566	2
JQ176145		14-Nov-1994	Guyana: Essequibo			Rhytipterna simplex	651	KU:O:86485	2
JQ176098		02-Oct-1997	Guyana: Northwest District			Ramphastos tucanus	652	KU:O:88918	2
JQ176085		30-Sep-1997	Guyana: Northwest District			Pyrrhura picta	652	KU:O:88929	2
JQ176033		04-Oct-1997	Guyana: Northwest District			Pteroglossus aracari	652	KU:O:88945	2
JQ175785		04-Oct-1997	Guyana: Northwest District			Phoenicircus carnifex	652	KU:O:88994	2
JQ175411		28-Sep-1997	Guyana: Northwest District			Monasa atra	652	KU:O:88937	2
JQ175342		01-Oct-1997	Guyana: Northwest District			Melanerpes cruentatus	652	KU:O:88955	2
JQ175178		30-Sep-1997	Guyana: Northwest District			Jacamerops aureus	652	KU:O:89107	2
JQ175158		13-Oct-2000	Guyana			Inezia subflava	648	KU:O:91472	2
JQ175137		02-Oct-1997	Guyana: Northwest District			Icterus chrysocephalus	652	KU:O:89058	2
JQ174897		16-Aug-1998	Guyana			Galbula leucogastra	652	KU:O:89703	2
JQ174806		04-Oct-1997	Guyana: Northwest District			Euphonia chrysopasta	652	KU:O:89079	2
JQ174747		19-Nov-2000	Guyana			Elaenia ruficeps	648	KU:O:91509	2
JQ174731		15-Apr-2000	Guyana			Elaenia chiriquensis	652	KU:O:91123	2
JQ174730		01-Nov-2000	Guyana			Elaenia chiriquensis	648	KU:O:91534	2
JQ174682		07-Nov-1994	Guyana: Essequibo			Deroptyus accipitrinus	651	KU:O:86413	2
JQ174385		10-Nov-2000	Guyana			Chaetura brachyura	648	KU:O:91524	2
JQ174362		17-Sep-1998	Guyana			Cercomacra laeta	652	KU:O:89770	2
JQ174361		18-Aug-1998	Guyana			Cercomacra laeta	652	KU:O:89771	2
JQ174360		17-Sep-1998	Guyana			Cercomacra laeta	652	KU:O:89769	2
JQ174318		20-Mar-2000	Guyana			Cathartes burrovianus	652	KU:O:90730	2
JQ174157		14-Apr-2000	Guyana			Basileuterus flaveolus	652	KU:O:90905	2
JQ174092		07-Apr-2000	Guyana			Arremon taciturnus	652	KU:O:90953	2
KJ013274		14-Nov-1994	Guyana: Essequibo			Lepidocolaptes albolineatus	652	KU:O:86512	0
JQ176641		11-Nov-1994	Guyana: Essequibo			Xiphocolaptes promeropirhynchus	644	KU:O:86442	2
JQ176596		02-Apr-2000	Guyana			Tyrannopsis sulphurea	652	KU:O:90933	2
JQ176217		20-Apr-1995	Panama: Chiriqui			Selasphorus scintilla	643	KU:O:86913	2
JQ175798		13-Apr-1995	Panama: Chiriqui			Phylloscartes superciliaris	652	KU:O:86987	2
JQ175032		11-Apr-1995	Panama: Chiriqui			Henicorhina leucophrys	645	KU:O:87013	2
JQ174941		04-Apr-2000	Guyana			Glaucidium hardyi	645	KU:O:90816	2
JQ174809		12-Apr-2000	Guyana			Euphonia finschi	644	KU:O:91118	2
JQ174807		17-Apr-1995	Panama: Chiriqui			Euphonia elegantissima	644	KU:O:87070	2
JQ174752		15-Apr-1995	Panama: Chiriqui			Electron platyrhynchum	644	KU:O:86915	2
JQ174329		20-Apr-1995	Panama: Chiriqui			Catharus gracilirostris	644	KU:O:87037	2
JQ174256		19-Aug-1998	Guyana			Camptostoma obsoletum	652	KU:O:89796	2
JQ176677		16-Sep-1997	Guyana: Northwest District			Zimmerius gracilipes	652	KU:O:89084	2
JQ176673		18-Apr-1995	Panama: Chiriqui			Zeledonia coronata	652	KU:O:87067	2
JQ176648		14-Apr-1995	Panama: Chiriqui			Xiphorhynchus erythropygius	652	KU:O:86953	2
JQ176622		18-Apr-1995	Panama: Chiriqui			Vireo carmioli	652	KU:O:87048	2
JQ176613		13-Oct-2000	Guyana			Veniliornis sanguineus	639	KU:O:91471	2
JQ176612		13-Apr-1995	Panama: Chiriqui			Veniliornis fumigatus	652	KU:O:86926	2
JQ176611		13-Apr-1995	Panama: Chiriqui			Veniliornis fumigatus	652	KU:O:86929	2
JQ176610		13-Apr-1995	Panama: Chiriqui			Veniliornis fumigatus	652	KU:O:86927	2
JQ176609		20-Sep-1997	Guyana: Northwest District			Veniliornis cassini	652	KU:O:88953	2
JQ176608		07-Sep-1998	Guyana			Veniliornis cassini	652	KU:O:89718	2
JQ176598		20-Aug-1998	Guyana			Tyrannulus elatus	652	KU:O:89797	2
JQ176595		19-Mar-2000	Guyana			Tyrannopsis sulphurea	652	KU:O:90781	2
JQ176583		14-Apr-1995	Panama: Chiriqui			Turdus plebejus	652	KU:O:87024	2
JQ176582		17-Apr-1995	Panama: Chiriqui			Turdus plebejus	652	KU:O:87149	2
JQ176581		17-Apr-1995	Panama: Chiriqui			Turdus plebejus	652	KU:O:87027	2
JQ176578		15-Apr-1995	Panama: Chiriqui			Turdus obsoletus	652	KU:O:87023	2
JQ176577		15-Apr-1995	Panama: Chiriqui			Turdus obsoletus	652	KU:O:87126	2
JQ176572		22-Mar-2000	Guyana			Turdus nudigenis	649	KU:O:90796	2
JQ176568		08-Apr-1996	Guyana: Berbice			Turdus ignobilis	652	KU:O:88244	2
